TRUMP,CLINTON,JOHNSON,precinct,county,voters_16,ballots_16,turnout_16
1272,979,110,Sewell Mill 01,Cobb,2923,2425,82.96
1213,1376,132,Sewell Mill 03,Cobb,3761,2804,74.55
489,1596,104,Smyrna 1A,Cobb,3094,2244,72.53
787,2208,153,Smyrna 2A,Cobb,4138,3213,77.65
1376,2253,220,Smyrna 3A,Cobb,5045,3963,78.55
1770,2070,237,Smyrna 4A,Cobb,4989,4182,83.82
684,1370,86,Smyrna 5A,Cobb,2935,2197,74.86
1641,2168,215,Smyrna 6A,Cobb,5054,4129,81.7
1358,2628,191,Smyrna 7A,Cobb,5062,4276,84.47
978,585,81,Sope Creek 01,Cobb,1953,1695,86.79
1491,1364,150,Sope Creek 02,Cobb,3862,3103,80.35
1228,723,86,Sope Creek 03,Cobb,2533,2093,82.63
897,1151,50,Sweetwater 01,Cobb,2620,2119,80.88
383,1145,39,Sweetwater 02,Cobb,2343,1598,68.2
873,1999,157,Terrell Mill 01,Cobb,4372,3109,71.11
1002,768,88,Timber Ridge 01,Cobb,2221,1919,86.4
1541,599,100,Vaughn 01,Cobb,2761,2292,83.01
585,861,65,Vinings 01,Cobb,1961,1549,78.99
1227,2240,184,Vinings 02,Cobb,4920,3743,76.08
992,1605,122,Vinings 03,Cobb,3485,2781,79.8
1273,1018,96,Vinings 04,Cobb,2995,2458,82.07
1417,1364,159,Wade Green 02,Cobb,3798,3019,79.49
1257,752,110,Willeo 01,Cobb,2528,2192,86.71
