"county","precinct","TRUMP","CLINTON","JOHNSON","voters_16","ballots_16","turnout_16","HANDEL","OSSOFF","voters_17","ballots_17","turnout_17","winner2016","winner2017","D2016","D2017","diff"
"Cobb","Simpson 01",768,537,58,1670,1401,83.89,634,463,1772,1097,61.91,"Trump","Handel",58.85,57.79,-1.06
"Cobb","Sope Creek 01",978,585,81,1953,1695,86.79,866,527,2011,1394,69.32,"Trump","Handel",62.57,62.17,-0.399999999999999
"Cobb","Sope Creek 02",1491,1364,150,3862,3103,80.35,1305,1000,4062,2306,56.77,"Trump","Handel",52.22,56.62,4.4
"Cobb","Sope Creek 03",1228,723,86,2533,2093,82.63,1057,613,2716,1671,61.52,"Trump","Handel",62.94,63.29,0.350000000000001
"Cobb","Timber Ridge 01",1002,768,88,2221,1919,86.4,933,658,2299,1591,69.2,"Trump","Handel",56.61,58.64,2.03
"Cobb","Willeo 01",1257,752,110,2528,2192,86.71,1096,672,2673,1768,66.14,"Trump","Handel",62.57,61.99,-0.579999999999998
"DeKalb","ASHFORD DUNWOODY RD",898,1088,111,2500,2153,86.12,833,931,2645,1767,66.81,"Clinton","Ossoff",45.22,47.22,2
"DeKalb","ASHFORD PARK ELEM",809,784,125,2053,1778,86.6,674,693,2207,1368,61.98,"Trump","Ossoff",50.78,49.31,-1.47
"DeKalb","ASHFORD PARKSIDE",956,1418,105,2991,2543,85.02,760,968,3227,1728,53.55,"Clinton","Ossoff",40.27,43.98,3.70999999999999
"DeKalb","AUSTIN",1065,786,90,2281,1997,87.55,1033,707,2356,1741,73.9,"Trump","Handel",57.54,59.37,1.83
"DeKalb","BRIARLAKE ELEM",487,709,58,1545,1317,85.24,443,691,1607,1134,70.57,"Clinton","Ossoff",40.72,39.07,-1.65
"DeKalb","BRIARWOOD",515,872,93,1918,1514,78.94,383,714,2098,1097,52.29,"Clinton","Ossoff",37.13,34.91,-2.22000000000001
"DeKalb","BROOKHAVEN",993,1169,142,2899,2378,82.03,746,933,3121,1679,53.8,"Clinton","Ossoff",45.93,44.43,-1.5
"DeKalb","CHAMBLEE",361,633,64,1402,1093,77.96,256,520,1534,778,50.72,"Clinton","Ossoff",36.32,32.99,-3.33
"DeKalb","CHAMBLEE 2",687,970,117,2212,1813,81.96,538,848,2380,1386,58.24,"Clinton","Ossoff",41.46,38.82,-2.64
"DeKalb","CHESNUT ELEM",417,934,58,1862,1442,77.44,344,702,2069,1047,50.6,"Clinton","Ossoff",30.87,32.89,2.02
"DeKalb","CROSS KEYS HIGH",483,783,89,1748,1396,79.86,330,557,1938,887,45.77,"Clinton","Ossoff",38.15,37.2,-0.949999999999996
"DeKalb","DORAVILLE NORTH",380,1080,66,2216,1555,70.17,272,801,2476,1073,43.34,"Clinton","Ossoff",26.03,25.35,-0.68
"DeKalb","DORAVILLE SOUTH",203,489,41,1010,750,74.26,151,392,1085,543,50.05,"Clinton","Ossoff",29.34,27.81,-1.53
"DeKalb","DRESDEN ELEM",726,1905,124,3844,2817,73.28,529,1466,4230,1997,47.21,"Clinton","Ossoff",27.59,26.52,-1.07
"DeKalb","DUNWOODY",723,1071,87,2468,1938,78.53,576,825,2701,1401,51.87,"Clinton","Ossoff",40.3,41.11,0.810000000000002
"DeKalb","DUNWOODY HIGH",768,664,68,1772,1567,88.43,747,597,1876,1344,71.64,"Trump","Handel",53.63,55.58,1.95
"DeKalb","DUNWOODY LIBRARY",1040,780,82,2234,1966,88,1029,678,2312,1707,73.83,"Trump","Handel",57.14,60.28,3.14
"DeKalb","EMBRY HILLS",509,790,75,1695,1413,83.36,456,693,1805,1150,63.71,"Clinton","Ossoff",39.18,39.69,0.509999999999998
"DeKalb","EVANSDALE ELEM",510,1224,77,2389,1867,78.15,483,958,2546,1442,56.64,"Clinton","Ossoff",29.41,33.52,4.11
"DeKalb","GEORGETOWN SQUARE",853,1305,110,3139,2335,74.39,649,883,3413,1534,44.95,"Clinton","Ossoff",39.53,42.36,2.83
"DeKalb","HAWTHORNE ELEM",591,1681,91,3166,2425,76.6,482,1200,3422,1682,49.15,"Clinton","Ossoff",26.01,28.66,2.65
"DeKalb","HENDERSON MILL ELEM",665,1313,94,2595,2128,82,575,1068,2790,1644,58.92,"Clinton","Ossoff",33.62,35,1.38
"DeKalb","HUNTLEY HILLS ELEM",503,1311,103,2560,1968,76.88,394,964,2827,1358,48.04,"Clinton","Ossoff",27.73,29.01,1.28
"DeKalb","KINGSLEY ELEM",1042,724,79,2208,1901,86.1,996,643,2292,1639,71.51,"Trump","Handel",59,60.77,1.77
"DeKalb","KITTREDGE ELEM",679,789,98,1884,1611,85.51,648,725,1961,1374,70.07,"Clinton","Ossoff",46.25,47.2,0.950000000000003
"DeKalb","LAKESIDE HIGH",813,1393,100,2760,2383,86.34,769,1242,2901,2011,69.32,"Clinton","Ossoff",36.85,38.24,1.39
"DeKalb","LIVSEY ELEM",454,592,37,1295,1126,86.95,411,554,1334,966,72.41,"Clinton","Ossoff",43.4,42.59,-0.809999999999995
"DeKalb","MIDVALE ELEM",704,725,84,1828,1578,86.32,649,680,1906,1330,69.78,"Clinton","Ossoff",49.27,48.83,-0.440000000000005
"DeKalb","MIDVALE ROAD",591,1292,72,2437,2016,82.72,524,991,2617,1515,57.89,"Clinton","Ossoff",31.39,34.59,3.2
"DeKalb","MONTGOMERY ELEM",736,851,107,2072,1757,84.8,669,751,2182,1421,65.12,"Clinton","Ossoff",46.38,47.11,0.729999999999997
"DeKalb","MT. VERNON EAST",1048,769,84,2273,1969,86.63,1024,671,2397,1697,70.8,"Trump","Handel",57.68,60.41,2.73
"DeKalb","MT. VERNON WEST",792,764,74,1952,1685,86.32,729,698,2054,1428,69.52,"Trump","Handel",50.9,51.09,0.190000000000005
"DeKalb","NORTH PEACHTREE",334,701,54,1483,1113,75.05,270,516,1625,788,48.49,"Clinton","Ossoff",32.27,34.35,2.08
"DeKalb","OAKCLIFF ELEM",239,702,42,1452,1005,69.21,150,577,1677,730,43.53,"Clinton","Ossoff",25.4,20.63,-4.77
"DeKalb","PEACHTREE MIDDLE",591,1422,91,2774,2151,77.54,454,979,3020,1433,47.45,"Clinton","Ossoff",29.36,31.68,2.32
"DeKalb","PLEASANTDALE ROAD",329,1670,54,3192,2102,65.85,221,1024,3678,1245,33.85,"Clinton","Ossoff",16.46,17.75,1.29
"DeKalb","SILVER LAKE",1332,1565,140,3915,3139,80.18,988,1150,4336,2140,49.35,"Clinton","Ossoff",45.98,46.21,0.230000000000004
"DeKalb","SKYLAND",516,666,94,1582,1314,83.06,440,558,1679,999,59.5,"Clinton","Ossoff",43.65,44.09,0.440000000000005
"DeKalb","TILLY MILL ROAD",588,482,75,1363,1180,86.57,549,457,1430,1007,70.42,"Trump","Handel",54.95,54.57,-0.380000000000003
